,attendedMovies,theatreImportance,numMoviesPerMonth,extraSpendAtMovies,arcade,foodAndDrink,restrooms,comfortableChairs,auditoriumTypeSeating,sizeOfScreen,soundQual,numScreens,cleanRestrooms,distanceTraveled,infoSource_newspaper,infoSource_internet,infoSource_phone,infoSource_tv,infoSource_friends,infoSource_other,purchase_internet,purchase_atTheatre,purchase_idvance,purchase_other,pActive,sActive,ethnicity,gender,uniYear,age,extraSpendInDollar,revPerMonth
attendedMovies,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theatreImportance,-0.044073832,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numMoviesPerMonth,0.022203753,0.281506034,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extraSpendAtMovies,-0.003662791,0.031835138,0.134305316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arcade,0.017805114,0.087217054,0.07971849,0.011790052,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
foodAndDrink,-0.029804724,0.174484306,0.189362104,0.382759278,0.144881936,1,,,,,,,,,,,,,,,,,,,,,,,,,,
restrooms,-0.000450081,0.124472973,0.115710027,-0.000656853,0.120329727,0.477912036,1,,,,,,,,,,,,,,,,,,,,,,,,,
comfortableChairs,-0.027663761,0.110002251,0.099144124,0.038215924,0.044757998,0.24481505,0.400334777,1,,,,,,,,,,,,,,,,,,,,,,,,
auditoriumTypeSeating,0.021579682,0.165307467,0.090994435,-0.026259976,0.12985458,0.163765137,0.297317958,0.609295171,1,,,,,,,,,,,,,,,,,,,,,,,
sizeOfScreen,0.028729968,0.051466347,0.042432658,0.039685622,0.110176155,0.216593285,0.292754222,0.584444567,0.652629697,1,,,,,,,,,,,,,,,,,,,,,,
soundQual,0.039958872,0.072744096,0.015743237,0.031931198,0.061342335,0.197628817,0.302402368,0.655159107,0.610387525,0.78117468,1,,,,,,,,,,,,,,,,,,,,,
numScreens,0.044081216,0.182194628,0.063662151,-0.045739371,0.158888321,0.200128735,0.273817609,0.396163568,0.510548937,0.465698448,0.475766339,1,,,,,,,,,,,,,,,,,,,,
cleanRestrooms,-0.029534244,0.055222325,0.062963489,0.012229498,0.039649027,0.272997274,0.510985358,0.498323533,0.340372918,0.385514168,0.466911233,0.346461161,1,,,,,,,,,,,,,,,,,,,
distanceTraveled,-0.029043626,0.121807401,0.042262845,0.032440956,0.066732606,0.104862575,-0.042624732,0.123413793,0.156062711,0.12607606,0.102497931,0.103001267,0.063441054,1,,,,,,,,,,,,,,,,,,
infoSource_newspaper,0.085231505,0.052875471,-0.029636265,0.078506748,0.013134273,0.25112261,0.197651639,0.203009462,0.119611242,0.158992028,0.160065929,0.10073761,0.246421271,0.038790593,1,,,,,,,,,,,,,,,,,
infoSource_internet,-0.038949427,0.199925058,0.041792295,0.020933533,0.053539074,0.112654828,0.058097491,0.131989726,0.200967418,0.101706537,0.100681385,0.141332132,0.040331134,0.162038168,0.15892055,1,,,,,,,,,,,,,,,,
infoSource_phone,-0.011233893,0.115075809,0.110150258,0.013311687,0.008852576,0.259900299,0.210351461,0.223886215,0.135576763,0.112781481,0.119102295,0.149482159,0.228105379,0.03632988,0.226602078,0.051119861,1,,,,,,,,,,,,,,,
